stage,round,train_loss,communication_bytes,val_micro_auprc,val_macro_auprc,val_micro_auroc,val_macro_auroc,val_precision_at_5,val_recall_at_5,val_brier,val_ece_15
fedavg_graph_pretrain,0,,0,0.03966917338743766,0.038939902918340916,0.7770845248176996,0.764993556513827,0.026106235565819865,0.3050409619505017,0.02354948747484754,0.07081516826819274
fedavg_tfedgsp_fulljoint_logitres,0,,0,0.03966917338743766,0.038939902918340916,0.7770845248176996,0.764993556513827,0.026106235565819865,0.3050409619505017,0.02354948747484754,0.07081516826819274
fedavg_tfedgsp_fulljoint_logitres,1,0.4492122150576959,4121272,0.03982937234785213,0.03897993353961813,0.7776576752742254,0.7652276031037698,0.026217090069284067,0.3066499917295603,0.02412625728716913,0.07262360487562475
fedavg_tfedgsp_fulljoint_logitres,2,0.44680864606622045,4121272,0.03998802188099279,0.03906476642757545,0.7782106317715305,0.7654449121006845,0.026143187066974594,0.30623829967521693,0.02472490097183198,0.0744623620294516
fedavg_tfedgsp_fulljoint_logitres,3,0.4447762592746096,4121272,0.04014457618285704,0.03908638719731794,0.7787370222198129,0.7656281024740977,0.026143187066974594,0.30682121819761676,0.025326892555472377,0.0763015166926238
fedavg_tfedgsp_fulljoint_logitres,4,0.4416329335357738,4121272,0.04029664815821374,0.03912928440089467,0.7792624684786693,0.7657859801706597,0.026161662817551966,0.30661508627318507,0.025935914395893777,0.07814226239878175
fedavg_tfedgsp_fulljoint_logitres,5,0.4405720060752343,4121272,0.04044452028125006,0.03915346378927015,0.7797731132781822,0.7659236706669705,0.026161662817551962,0.30602613791766614,0.026571171109350204,0.08002380830610813
fedavg_tfedgsp_fulljoint_logitres,6,0.4373635471369301,4121272,0.040594573873377865,0.039179056124997766,0.7802803888660337,0.7660395726077506,0.026161662817551966,0.30603953110469045,0.02719236057626622,0.08186622772959541
fedavg_tfedgsp_fulljoint_logitres,7,0.4363585018462619,4121272,0.04073679963946156,0.03918616442885804,0.7807808474802014,0.7661265698428409,0.026161662817551966,0.30547516991352813,0.02781897785401423,0.08371671899374562
fedavg_tfedgsp_fulljoint_logitres,8,0.434026456543651,4121272,0.0408746231921601,0.039194527893416396,0.7812763616485676,0.7662024538935601,0.0261986143187067,0.3060155157348538,0.0284457681492008,0.08555851643500026
fedavg_tfedgsp_fulljoint_logitres,9,0.431904737171794,4121272,0.04101895282028196,0.03921310568997863,0.7817708708654574,0.7662538373479397,0.026143187066974594,0.30457459354465205,0.02905783400769624,0.08736456314502135
fedavg_tfedgsp_fulljoint_logitres,10,0.43103754985973386,4121272,0.04116134824141411,0.039228319204079994,0.78226521963531,0.7663025022123547,0.02621709006928406,0.3049743218982709,0.0296676721932557,0.08915866294027955
fedavg_tfedgsp_fulljoint_logitres,11,0.4299169356045464,4121272,0.04130440503116387,0.03923445790227735,0.782752486368042,0.7663297106531456,0.026327944572748268,0.3066622593210786,0.030262091086290174,0.09091536593259843
fedavg_tfedgsp_fulljoint_logitres,12,0.428276185223756,4121272,0.04144161830857732,0.0392219789504066,0.7832356142364746,0.766345192214599,0.026327944572748268,0.30603931518228433,0.030851602822851147,0.09265717706866085
fedavg_tfedgsp_fulljoint_logitres,13,0.42623697913072717,4121272,0.04158108432849141,0.03921965352299845,0.7837096667202912,0.7663376606706035,0.026217090069284067,0.30424128132373174,0.03143261915632342,0.09437457320369652
fedavg_tfedgsp_fulljoint_logitres,14,0.42539895973341174,4121272,0.04170785445270901,0.03920801580319026,0.784172340321357,0.766316178584578,0.026106235565819865,0.3038256306919428,0.03200186448303716,0.09606024527095583
fedavg_tfedgsp_fulljoint_logitres,15,0.42310616507918536,4121272,0.04182476869837979,0.039234356839346035,0.7846190368494963,0.7662833735053785,0.026069284064665132,0.30203133948842964,0.032552232375295254,0.0976963402281569
fedavg_tfedgsp_fulljoint_logitres,16,0.4227316721549878,4121272,0.04192213915620314,0.039307496353262306,0.7850528394944293,0.7662363738480562,0.026106235565819865,0.3024750780265486,0.03308808328453879,0.09929343417621411
fedavg_tfedgsp_fulljoint_logitres,17,0.4219001356842936,4121272,0.04201273288073537,0.039161944134789545,0.7854723579499951,0.7661855712974104,0.026069284064665132,0.3015664965343936,0.03360551021058503,0.10084447470199408
fedavg_tfedgsp_fulljoint_logitres,18,0.42182230503877816,4121272,0.04208585400587414,0.039145140374933704,0.7858762096593963,0.7661087818348136,0.02601385681293303,0.29992425868898576,0.03410037314651612,0.10233669301961129
fedavg_tfedgsp_fulljoint_logitres,19,0.42006539792724545,4121272,0.04214697522443963,0.039162561830533654,0.7862633134103799,0.7660555115620462,0.02605080831408776,0.3002490559698349,0.034553664407875696,0.10373010328683177
fedavg_tfedgsp_fulljoint_logitres,20,0.41980924830867333,4121272,0.0421856595461379,0.039150224606656917,0.7866348485150886,0.7659796205882116,0.026161662817551962,0.30113362209215316,0.034983201493661464,0.10505979975401614
fedavg_tfedgsp_fulljoint_logitres,21,0.4182076792699371,4121272,0.04221973978224499,0.03914337567160749,0.7869876731352146,0.7658955196471627,0.02627251732101617,0.30168597559839716,0.035381879462147416,0.10630666465941428
fedavg_tfedgsp_fulljoint_logitres,22,0.41860297535861934,4121272,0.04224165299613977,0.03910801755975389,0.7873199015337342,0.7658070194154009,0.026254041570438803,0.30207813867067557,0.035755361228531825,0.10748157237925586
fedavg_tfedgsp_fulljoint_logitres,23,0.41724822803707423,4121272,0.042252847524530256,0.03910032437340576,0.7876312547335816,0.7657284255340951,0.026161662817551966,0.30185599649968614,0.036096254529745644,0.1085654767797364
fedavg_tfedgsp_fulljoint_logitres,24,0.4171429535716477,4121272,0.042257108280057916,0.03908948882239457,0.7879246179634782,0.7656477165624357,0.026143187066974594,0.3028466305054498,0.03640104584118499,0.10954824605493622
