stage,round,train_loss,communication_bytes,val_micro_auprc,val_macro_auprc,val_micro_auroc,val_macro_auroc,val_precision_at_5,val_recall_at_5,val_brier,val_ece_15
fedavg_graph_gru_pretrain,0,,0,0.04123875973480806,0.04042934205847999,0.7805944541667892,0.7663302399986405,0.026605080831408775,0.308501958500899,0.025076881271363215,0.07459751752753153
fedavg_tfedgsp_hybrid_adapter,0,,0,0.04123875973480806,0.04042934205847999,0.7805944541667892,0.7663302399986405,0.026605080831408775,0.308501958500899,0.025076881271363215,0.07459751752753153
fedavg_tfedgsp_hybrid_adapter,1,0.4491823946664502,3269336,0.041332144387421534,0.04024709251960034,0.7815263258041534,0.7665698202338214,0.02654965357967667,0.3071905477694594,0.025768001632860242,0.07634181208447864
fedavg_tfedgsp_hybrid_adapter,2,0.4339381160344295,3269336,0.04163234002936817,0.040492806312962905,0.7834839381689447,0.7668710884314559,0.026364896073903,0.30546427412315696,0.027398037749448295,0.08098446644327183
fedavg_tfedgsp_hybrid_adapter,3,0.43440523343151327,3269336,0.042009920661757696,0.04046351452323242,0.7848887344055735,0.7672151494031587,0.026309468822170907,0.3054431590052034,0.028629116534913224,0.08437448703433006
fedavg_tfedgsp_hybrid_adapter,4,0.4221450916467195,3269336,0.04237550530692862,0.04062740345514982,0.786206199020391,0.7674699642206102,0.026401847575057737,0.3055566602174078,0.030000033265282205,0.0881119228645226
fedavg_tfedgsp_hybrid_adapter,5,0.41926333821243394,3269336,0.0427175120490148,0.04081444788652537,0.7873453592477342,0.7676394165534943,0.02677136258660508,0.3091232078369729,0.031399370463919975,0.09186199251992445
fedavg_tfedgsp_hybrid_adapter,6,0.4170415692609511,3269336,0.04295854403628981,0.04092134225221499,0.7882857056940862,0.7677517792292974,0.026678983833718247,0.3075244030893293,0.0327879971815192,0.09551053161566728
fedavg_tfedgsp_hybrid_adapter,7,0.4158023719369763,3269336,0.0431220220149227,0.04103976040373694,0.7890891251241557,0.7678290245239991,0.026808314087759813,0.3089132919782182,0.034217985469887725,0.09920883632545838
fedavg_tfedgsp_hybrid_adapter,8,0.4128095936919957,3269336,0.04324921498190628,0.041068681786674895,0.7897570046739095,0.7678573723734753,0.02678983833718245,0.3099845230206309,0.035599027707157616,0.1027295921965721
fedavg_tfedgsp_hybrid_adapter,9,0.41015591417615016,3269336,0.04333634794933864,0.04112548578701555,0.7903316953163204,0.7678566432879415,0.02666050808314088,0.3087022738097073,0.03705374714869262,0.10638657423008488
