seed,hybrid_micro_auprc,generic_micro_auprc,full_budget_micro_auprc,hybrid_minus_generic,hybrid_minus_full_budget,hybrid_best_round,generic_best_round,full_rounds_affordable
1,0.04591715210905417,0.04630643788857067,0.0465887753341184,-0.0003892857795164961,-0.0006716232250642273,22,21,8
2,0.04347475509971939,0.043510880309898664,0.0431818961612761,-3.6125210179274725e-05,0.00029285893844328836,30,30,8
3,0.0438701085368181,0.0436052671007114,0.0436612651988663,0.00026484143610670113,0.0002088433379517987,30,30,8
